run_id,t_seconds,config,mitigation,antagonist_active,throughput,claim_p50,claim_p95,claim_p99,e2e_p50,e2e_p95,e2e_p99,n_dead_tup,n_live_tup,table_bytes,index_bytes,queue_depth,oldest_backend_xmin_age,last_autovacuum
C1,0,saturated,,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
C1,1,saturated,,false,1416.000,1.246,2.183,2.795,479.429,909.639,940.107,0,0,5791744,1662976,49282,1,
C1,2,saturated,,false,1375.000,1.620,2.370,2.824,1450.671,1896.534,1938.390,3067,50733,6234112,1818624,49320,17,
C1,3,saturated,,false,1345.000,1.696,2.634,3.300,2444.095,2870.828,2915.270,5776,52131,6488064,1925120,49335,0,
C1,4,saturated,,false,1284.000,1.402,9.524,22.954,3479.211,3865.544,3901.311,8452,53491,6733824,2015232,49297,12,
C1,5,saturated,,false,1423.000,1.461,2.389,3.162,4389.517,4837.764,4886.775,11154,54740,6995968,2121728,49340,0,
C1,6,saturated,,false,1340.000,1.641,2.992,3.378,5402.577,5833.171,5876.380,13958,56203,7266304,2220032,49340,14,
C1,7,saturated,,false,1300.000,1.541,2.667,25.059,6352.443,6811.989,6856.202,16664,57543,7512064,2326528,49420,0,
C1,8,saturated,,false,1380.000,1.625,2.558,2.994,7368.955,7802.717,7848.449,19306,58923,7774208,2416640,49340,12,
C1,9,saturated,,false,1358.000,1.713,2.502,3.431,8345.909,8793.171,8839.446,22041,60223,8028160,2523136,49365,0,
C1,10,saturated,,false,1342.000,1.669,2.621,4.707,9336.961,9775.930,9818.258,24766,61603,8273920,2621440,49380,0,
C1,11,saturated,,false,1400.000,1.564,2.178,2.372,10311.868,10770.467,10813.042,27500,62963,8527872,2711552,49366,20,
C1,12,saturated,,false,1402.000,1.535,2.619,4.146,11302.970,11753.419,11798.402,30304,64343,8781824,2818048,49360,0,
C1,13,saturated,,false,1380.000,1.628,2.553,2.859,12298.071,12729.337,12776.167,33105,65745,9052160,2924544,49360,17,
C1,14,saturated,,false,1240.000,1.422,9.820,15.658,13333.687,13718.842,13759.196,35665,67125,9273344,3014656,49359,0,
C1,15,saturated,,false,1323.000,1.566,3.656,4.990,14277.132,14705.314,14752.093,38259,68365,9543680,3112960,49397,2,
C1,16,saturated,,false,1420.000,1.546,2.281,2.779,15245.798,15701.266,15744.477,40945,69725,9789440,3227648,49380,0,
C1,17,saturated,,false,1360.000,1.449,2.587,6.270,16229.724,16676.275,16718.495,43766,71128,10043392,3334144,49380,29,
C1,18,saturated,,false,1360.000,1.751,2.539,3.073,17218.206,17667.522,17711.046,46520,72488,10313728,3424256,49400,20,
C1,19,saturated,,false,1380.000,1.604,2.325,2.680,18209.902,18658.284,18705.094,49268,73868,10559488,3522560,49396,11,
C1,20,saturated,,false,1383.000,1.662,2.493,3.050,19195.207,19635.567,19682.776,52026,75244,10821632,3629056,49397,0,
C1,21,saturated,,false,1380.000,1.620,2.348,2.741,20181.908,20629.055,20671.807,54820,76883,11083776,3735552,49400,0,
C1,22,saturated,,false,1402.000,1.514,2.346,2.742,21154.853,21616.685,21656.077,57602,78011,11321344,3833856,49399,5,
C1,23,saturated,,false,1381.000,1.396,3.093,7.255,22150.915,22593.958,22635.692,60408,79412,11575296,3932160,49400,24,
C1,24,saturated,,false,1209.000,1.255,12.125,41.797,23127.206,23525.114,23626.706,62996,80794,11829248,4030464,49508,14,
C1,25,saturated,,false,1231.000,1.572,6.846,27.270,24154.639,24570.772,24601.413,65394,82101,12042240,4112384,49459,18,
C1,26,saturated,,false,1339.000,1.433,5.285,6.971,25123.331,25546.796,25591.864,67970,83804,12279808,4227072,49420,0,
C1,27,saturated,,false,1341.000,1.622,2.953,3.850,26082.997,26534.419,26579.478,70667,84593,12558336,4308992,49479,38,
C1,28,saturated,,false,1360.000,1.826,2.569,3.304,27087.975,27541.201,27586.223,73361,85993,12795904,4415488,49430,0,
C1,29,saturated,,false,1387.000,1.556,2.405,2.743,28085.867,28515.351,28559.507,76071,87294,13082624,4521984,49395,0,
C1,30,saturated,,false,1360.000,1.741,2.476,2.828,29058.880,29516.964,29559.177,78883,88676,13336576,4628480,49450,0,
C1,31,saturated,,false,1359.000,1.698,2.474,3.176,30041.239,30503.755,30552.352,81614,90061,13574144,4718592,49473,12,
C1,32,saturated,,false,1408.000,1.524,2.317,2.705,31036.689,31491.395,31536.649,84358,91441,13844480,4825088,49420,20,
C1,33,saturated,,false,1320.000,1.628,2.370,2.660,32025.716,32466.029,32513.464,87163,92808,14090240,4931584,49480,0,
C1,34,saturated,,false,1200.000,1.388,9.964,29.291,33102.192,33480.921,33521.283,89717,94188,14319616,5013504,49428,0,
C1,35,saturated,,false,1365.000,1.657,2.408,3.001,34013.811,34457.967,34503.717,92238,95333,14565376,5111808,49460,0,
C1,36,saturated,,false,1400.000,1.613,2.456,3.175,34997.381,35448.023,35493.099,95028,96733,14811136,5218304,49440,0,
C1,37,saturated,,false,1360.000,1.534,2.805,3.264,35980.007,36434.027,36476.731,97819,98113,15073280,5316608,49460,12,
C1,38,saturated,,false,1320.000,1.783,2.400,2.702,36739.307,36965.456,37016.114,100540,99493,15319040,5431296,49481,0,
C1,39,saturated,,false,1404.000,1.576,2.356,2.670,36802.407,37032.603,37067.286,103096,101089,15548416,5537792,49460,18,
