run_id,t_seconds,config,mitigation,antagonist_active,throughput,claim_p50,claim_p95,claim_p99,e2e_p50,e2e_p95,e2e_p99,n_dead_tup,n_live_tup,table_bytes,index_bytes,queue_depth,oldest_backend_xmin_age,last_autovacuum
M3,0,saturated,M3,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
M3,1,saturated,M3,false,1128.000,3.021,6.262,7.105,475.551,906.416,934.751,0,0,2973696,1130496,49875,18,
M3,2,saturated,M3,false,1282.000,1.904,3.795,6.588,1439.200,1857.953,1901.917,2381,37631,6225920,2351104,49574,2,
M3,3,saturated,M3,false,1302.000,1.842,3.782,8.791,2375.955,2837.425,2886.596,4912,51749,6537216,2482176,49634,9,
M3,4,saturated,M3,false,1208.000,1.981,5.707,20.772,3381.534,3789.247,3831.038,7525,53111,6750208,2596864,49380,3,
M3,5,saturated,M3,false,1349.000,1.791,3.929,39.515,4371.043,4800.197,4844.828,10002,54320,6963200,2703360,49316,21,
M3,6,saturated,M3,false,1196.000,1.893,4.811,6.105,5306.449,5793.224,5820.107,12666,55862,7192576,2826240,49439,21,
M3,7,saturated,M3,false,1115.000,1.600,12.766,23.401,6387.393,6765.968,6792.945,15064,57435,7389184,2916352,49379,20,
M3,8,saturated,M3,false,1316.000,1.665,3.638,16.984,7280.031,7696.768,7747.900,17331,58482,7577600,3031040,49358,8,
M3,9,saturated,M3,false,1204.000,2.022,6.862,32.840,8287.068,8696.247,8743.139,19891,59274,7847936,3145728,49360,1,
M3,10,saturated,M3,false,1320.000,1.820,2.860,3.586,9227.419,9670.562,9709.180,22372,59274,8101888,3260416,49337,35,
M3,11,saturated,M3,false,1361.000,1.758,3.043,5.612,10188.425,10642.769,10693.591,24930,61120,8323072,3391488,49347,5,
M3,12,saturated,M3,false,1371.000,1.812,2.608,3.317,11210.301,11629.445,11665.399,27656,62715,8617984,3506176,49307,7,
M3,13,saturated,M3,false,1254.000,1.702,6.589,16.454,12156.270,12607.655,12634.217,30395,64062,8806400,3629056,49378,10,
M3,14,saturated,M3,false,1365.000,1.752,2.616,3.540,13124.011,13537.688,13581.898,32928,65178,9084928,3751936,49332,0,
M3,15,saturated,M3,false,1383.000,1.725,2.612,3.435,14087.071,14523.931,14571.043,35677,66681,9281536,3883008,49316,17,
M3,16,saturated,M3,false,1345.000,1.747,2.666,3.334,15078.313,15491.037,15533.754,38423,67810,9592832,4005888,49314,31,
M3,17,saturated,M3,false,1197.000,1.734,6.863,15.181,16092.064,16491.321,16519.249,41102,69194,9756672,4128768,49360,11,
M3,18,saturated,M3,false,1340.000,1.692,2.888,11.278,17008.297,17466.320,17509.271,43598,70556,10035200,4243456,49380,20,
M3,19,saturated,M3,false,1343.000,1.741,2.628,3.927,17993.288,18443.529,18481.968,46283,71756,10223616,4358144,49380,0,
M3,20,saturated,M3,false,1387.000,1.257,2.695,4.541,18981.684,19422.634,19469.366,49004,73331,10518528,4497408,49360,0,
M3,21,saturated,M3,false,1260.000,1.389,3.686,4.638,19939.595,20393.309,20440.167,51747,74950,10756096,4620288,49440,0,
M3,22,saturated,M3,false,1341.000,1.976,2.799,4.066,20947.117,21381.627,21430.502,54340,76317,10993664,4743168,49359,20,
M3,23,saturated,M3,false,1365.000,1.800,2.784,3.383,21940.057,22368.372,22407.333,56998,77086,11231232,4874240,49355,0,
M3,24,saturated,M3,false,1387.000,1.779,2.716,4.015,22921.686,23351.347,23388.910,59726,78427,11476992,4997120,49333,5,
M3,25,saturated,M3,false,1367.000,1.782,2.672,3.314,23858.949,24311.788,24359.137,62411,79792,11722752,5128192,49383,21,
M3,26,saturated,M3,false,1324.000,1.886,2.688,4.121,24853.579,25274.353,25313.455,65143,81199,11968512,5251072,49376,20,
M3,27,saturated,M3,false,1143.000,1.587,11.998,60.401,25881.028,26260.892,26286.097,67623,82547,12197888,5365760,49380,16,
M3,28,saturated,M3,false,1321.000,1.942,3.100,3.486,26769.602,27212.170,27257.468,70014,84145,12427264,5480448,49418,2,
M3,29,saturated,M3,false,1342.000,1.905,2.891,3.553,27736.087,28185.878,28233.911,72701,85053,12664832,5603328,49420,0,
M3,30,saturated,M3,false,1393.000,1.651,2.827,4.254,28717.499,29150.543,29196.481,75395,86376,12918784,5726208,49381,14,
M3,31,saturated,M3,false,1323.000,1.919,2.825,3.562,29698.567,30130.282,30176.959,78157,87971,13156352,5857280,49420,20,
M3,32,saturated,M3,false,1366.000,1.655,2.717,3.595,30651.658,31113.260,31162.069,53,90438,13393920,6004736,49420,120,2026-08-03T09:03:39.391530Z
M3,33,saturated,M3,false,1302.000,1.899,2.826,3.259,31663.486,32093.073,32134.667,2983,90421,13393920,6086656,49418,0,2026-08-03T09:03:39.391530Z
M3,34,saturated,M3,false,1348.000,1.737,2.656,3.446,32608.277,33070.554,33108.852,5646,91532,13393920,6168576,49439,0,2026-08-03T09:03:39.391530Z
M3,35,saturated,M3,false,1322.000,1.883,2.730,3.049,33601.171,34042.614,34089.941,8342,92854,13393920,6250496,49440,0,2026-08-03T09:03:39.391530Z
