run_id,t_seconds,config,mitigation,antagonist_active,throughput,claim_p50,claim_p95,claim_p99,e2e_p50,e2e_p95,e2e_p99,n_dead_tup,n_live_tup,table_bytes,index_bytes,queue_depth,oldest_backend_xmin_age,last_autovacuum
M3,0,saturated,M3,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
M3,1,saturated,M3,false,1335.000,1.282,2.528,7.960,497.726,912.664,956.784,1166,53532,6430720,2416640,52177,0,
M3,2,saturated,M3,false,1301.000,1.707,2.644,4.574,1452.071,1893.791,1937.895,2821,53532,6438912,2457600,51517,7,
M3,3,saturated,M3,false,1360.000,1.538,2.511,3.349,2435.533,2888.914,2935.633,5440,53532,6602752,2523136,50176,29,
M3,4,saturated,M3,false,1300.000,1.600,3.782,6.064,3438.331,3879.081,3920.748,8125,53532,6733824,2621440,49340,0,
M3,5,saturated,M3,false,1340.000,1.622,2.497,4.325,4416.377,4864.957,4912.840,10776,54676,6987776,2736128,49338,18,
M3,6,saturated,M3,false,1319.000,1.770,2.461,2.699,5412.900,5862.877,5906.616,13442,55998,7307264,2850816,49340,20,
M3,7,saturated,M3,false,1304.000,1.822,2.501,2.802,6407.514,6828.211,6844.212,16081,57316,7503872,2965504,49340,0,
M3,8,saturated,M3,false,1337.000,1.773,2.434,2.736,7341.208,7775.193,7822.928,18600,58636,7782400,3080192,49340,21,
M3,9,saturated,M3,false,1340.000,1.743,2.362,2.675,8310.621,8762.071,8807.525,21291,59956,8003584,3211264,49319,4,
M3,10,saturated,M3,false,1225.000,1.603,6.146,15.199,9333.981,9731.598,9777.931,23910,61317,8257536,3317760,49416,0,
M3,11,saturated,M3,false,1343.000,1.619,2.542,6.966,10286.458,10728.521,10774.780,26457,62561,8470528,3432448,49337,21,
M3,12,saturated,M3,false,1360.000,1.650,2.330,4.889,11263.671,11714.545,11755.973,29151,63884,8740864,3547136,49320,18,
M3,13,saturated,M3,false,1340.000,1.592,2.304,2.698,12241.713,12693.145,12739.193,31889,65479,9019392,3661824,49320,0,
M3,14,saturated,M3,false,1320.000,1.763,2.377,2.748,13241.263,13685.612,13728.092,34585,66859,9232384,3784704,49340,0,
M3,15,saturated,M3,false,1300.000,1.871,2.479,2.806,14214.181,14658.244,14704.480,37237,68179,9502720,3899392,49340,19,
M3,16,saturated,M3,false,1340.000,1.732,2.530,3.297,15210.868,15653.723,15703.546,39886,69499,9699328,4005888,49340,20,
M3,17,saturated,M3,false,1300.000,1.790,2.434,2.760,16191.774,16633.958,16680.500,42538,70819,9994240,4120576,49320,0,
