t_seconds,wall_clock,probe_kind,query_ms,row_count
0,2026-08-04T08:23:27.067556Z,fast,5,22
0,2026-08-04T08:23:27.072816Z,slow,4,7
0,2026-08-04T08:23:27.553686Z,fast,0,0
1,2026-08-04T08:23:28.053246Z,fast,1,0
1,2026-08-04T08:23:28.553892Z,fast,5,68
2,2026-08-04T08:23:29.053725Z,slow,2,22
2,2026-08-04T08:23:29.053740Z,fast,2,21
2,2026-08-04T08:23:29.553159Z,fast,2,120
3,2026-08-04T08:23:30.053483Z,fast,3,142
3,2026-08-04T08:23:30.553300Z,fast,0,0
4,2026-08-04T08:23:31.053211Z,fast,1,32
4,2026-08-04T08:23:31.053211Z,slow,5,221
4,2026-08-04T08:23:31.555629Z,fast,3,228
5,2026-08-04T08:23:32.054225Z,fast,1,27
5,2026-08-04T08:23:32.552862Z,fast,2,40
6,2026-08-04T08:23:33.054104Z,fast,0,1
6,2026-08-04T08:23:33.054103Z,slow,1,0
6,2026-08-04T08:23:33.553432Z,fast,0,0
7,2026-08-04T08:23:34.054165Z,fast,0,0
7,2026-08-04T08:23:34.554123Z,fast,0,0
8,2026-08-04T08:23:35.053027Z,fast,1,24
8,2026-08-04T08:23:35.053024Z,slow,1,0
8,2026-08-04T08:23:35.553282Z,fast,0,36
9,2026-08-04T08:23:36.053232Z,fast,1,12
9,2026-08-04T08:23:36.553149Z,fast,0,12
10,2026-08-04T08:23:37.052861Z,fast,4,272
10,2026-08-04T08:23:37.052861Z,slow,5,277
10,2026-08-04T08:23:37.553230Z,fast,1,21
11,2026-08-04T08:23:38.052810Z,fast,2,25
11,2026-08-04T08:23:38.553985Z,fast,1,21
12,2026-08-04T08:23:39.055605Z,fast,1,37
12,2026-08-04T08:23:39.055596Z,slow,3,178
12,2026-08-04T08:23:39.552699Z,fast,3,167
13,2026-08-04T08:23:40.054567Z,fast,0,0
13,2026-08-04T08:23:40.554344Z,fast,0,0
14,2026-08-04T08:23:41.054043Z,fast,4,252
14,2026-08-04T08:23:41.054041Z,slow,5,251
14,2026-08-04T08:23:41.552889Z,fast,3,157
15,2026-08-04T08:23:42.053609Z,fast,3,227
15,2026-08-04T08:23:42.552849Z,fast,0,24
16,2026-08-04T08:23:43.053448Z,slow,1,9
16,2026-08-04T08:23:43.053449Z,fast,1,9
16,2026-08-04T08:23:43.555315Z,fast,1,59
17,2026-08-04T08:23:44.053432Z,fast,0,0
17,2026-08-04T08:23:44.552879Z,fast,0,0
18,2026-08-04T08:23:45.052963Z,fast,17,207
18,2026-08-04T08:23:45.052970Z,slow,37,271
18,2026-08-04T08:23:45.552778Z,fast,3,111
19,2026-08-04T08:23:46.053517Z,fast,0,0
19,2026-08-04T08:23:46.553653Z,fast,1,13
20,2026-08-04T08:23:47.056030Z,fast,2,39
20,2026-08-04T08:23:47.056030Z,slow,6,260
20,2026-08-04T08:23:47.556024Z,fast,35,260
21,2026-08-04T08:23:48.054582Z,fast,6,259
21,2026-08-04T08:23:48.553739Z,fast,0,0
22,2026-08-04T08:23:49.054759Z,slow,2,86
22,2026-08-04T08:23:49.054758Z,fast,3,187
22,2026-08-04T08:23:49.553518Z,fast,2,126
23,2026-08-04T08:23:50.052514Z,fast,2,155
23,2026-08-04T08:23:50.554136Z,fast,0,0
24,2026-08-04T08:23:51.052540Z,fast,2,201
24,2026-08-04T08:23:51.052534Z,slow,4,201
24,2026-08-04T08:23:51.554602Z,fast,0,0
25,2026-08-04T08:23:52.054094Z,fast,0,0
25,2026-08-04T08:23:52.552626Z,fast,9,245
26,2026-08-04T08:23:53.053400Z,fast,1,7
26,2026-08-04T08:23:53.053400Z,slow,1,9
26,2026-08-04T08:23:53.554002Z,fast,10,0
27,2026-08-04T08:23:54.053455Z,fast,0,0
27,2026-08-04T08:23:54.553222Z,fast,0,0
28,2026-08-04T08:23:55.052798Z,slow,2,97
28,2026-08-04T08:23:55.052855Z,fast,3,164
