t_seconds,wall_clock,probe_kind,query_ms,row_count
0,2026-08-07T11:59:08.598626Z,slow,7,0
0,2026-08-07T11:59:08.609997Z,fast,7,22
0,2026-08-07T11:59:09.092890Z,fast,6,136
1,2026-08-07T11:59:09.591612Z,fast,3,35
1,2026-08-07T11:59:10.091687Z,fast,1,0
2,2026-08-07T11:59:10.592912Z,slow,2,16
2,2026-08-07T11:59:10.592887Z,fast,2,16
2,2026-08-07T11:59:11.091667Z,fast,0,0
3,2026-08-07T11:59:11.592309Z,fast,0,0
3,2026-08-07T11:59:12.092714Z,fast,1,14
4,2026-08-07T11:59:12.592491Z,fast,0,1
4,2026-08-07T11:59:12.592496Z,slow,1,0
4,2026-08-07T11:59:13.092356Z,fast,7,246
5,2026-08-07T11:59:13.591828Z,fast,10,130
5,2026-08-07T11:59:14.091664Z,fast,2,341
6,2026-08-07T11:59:14.591538Z,fast,1,77
6,2026-08-07T11:59:14.591556Z,slow,3,39
6,2026-08-07T11:59:15.094403Z,fast,2,45
7,2026-08-07T11:59:15.591680Z,fast,3,372
7,2026-08-07T11:59:16.094184Z,fast,2,261
8,2026-08-07T11:59:16.592587Z,slow,2,9
8,2026-08-07T11:59:16.592581Z,fast,3,347
8,2026-08-07T11:59:17.092136Z,fast,0,24
9,2026-08-07T11:59:17.591789Z,fast,3,273
9,2026-08-07T11:59:18.093988Z,fast,3,249
10,2026-08-07T11:59:18.591577Z,slow,8,205
10,2026-08-07T11:59:18.591551Z,fast,8,339
10,2026-08-07T11:59:19.091643Z,fast,0,0
11,2026-08-07T11:59:19.591676Z,fast,4,342
11,2026-08-07T11:59:20.093965Z,fast,1,7
12,2026-08-07T11:59:20.594649Z,slow,3,193
12,2026-08-07T11:59:20.594632Z,fast,3,286
12,2026-08-07T11:59:21.092081Z,fast,0,0
13,2026-08-07T11:59:21.594182Z,fast,1,13
13,2026-08-07T11:59:22.093981Z,fast,0,0
14,2026-08-07T11:59:22.591560Z,slow,1,32
14,2026-08-07T11:59:22.591540Z,fast,1,34
14,2026-08-07T11:59:23.091754Z,fast,1,76
15,2026-08-07T11:59:23.591530Z,fast,3,227
15,2026-08-07T11:59:24.091864Z,fast,0,0
16,2026-08-07T11:59:24.592015Z,fast,1,9
16,2026-08-07T11:59:24.592016Z,slow,1,9
16,2026-08-07T11:59:25.091595Z,fast,1,96
17,2026-08-07T11:59:25.592484Z,fast,0,0
17,2026-08-07T11:59:26.091723Z,fast,0,0
18,2026-08-07T11:59:26.593695Z,fast,1,9
18,2026-08-07T11:59:26.593695Z,slow,1,9
18,2026-08-07T11:59:27.091877Z,fast,3,352
