run_id,t_seconds,config,mitigation,antagonist_active,throughput,claim_p50,claim_p95,claim_p99,e2e_p50,e2e_p95,e2e_p99,n_dead_tup,n_live_tup,table_bytes,index_bytes,queue_depth,oldest_backend_xmin_age,last_autovacuum
R2,0,saturated,,false,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,
R2,1,saturated,,false,1189.000,2.051,6.306,11.411,512.110,907.395,938.042,62,27647,3547136,1024000,49800,35,
R2,2,saturated,,false,1282.000,1.583,3.884,25.805,1419.861,1874.676,1915.782,2350,51650,6225920,1835008,49780,0,
R2,3,saturated,,false,1302.000,1.554,5.529,18.975,2453.250,2855.511,2900.688,4871,51650,6529024,1925120,49800,0,
R2,4,saturated,,false,1360.000,1.647,2.711,3.482,3405.322,3840.663,3881.673,7520,52951,6799360,2031616,49800,0,
R2,5,saturated,,false,1333.000,1.568,3.625,38.296,4389.084,4832.687,4872.756,10260,54253,7012352,2121728,49813,0,
R2,6,saturated,,false,1303.000,1.696,3.628,18.465,5359.040,5814.255,5853.778,12956,55636,7323648,2228224,49859,0,
R2,7,saturated,,false,1441.000,1.286,3.264,4.721,6353.713,6798.140,6837.505,15644,56948,7520256,2334720,49800,0,
R2,8,saturated,,false,1385.000,1.605,2.778,3.758,7319.842,7768.737,7817.995,18481,58329,7806976,2433024,49818,20,
R2,9,saturated,,false,1323.000,1.703,3.670,14.547,8297.583,8765.399,8807.152,21274,59750,8093696,2523136,49798,0,
R2,10,saturated,,false,1410.000,1.404,2.629,3.371,9320.851,9739.716,9779.156,23925,61127,8298496,2629632,49792,0,
R2,11,saturated,,false,1351.000,1.534,2.827,5.495,10296.546,10714.740,10756.401,26733,62693,8609792,2736128,49820,0,
R2,12,saturated,,false,1397.000,1.436,2.943,8.534,11265.171,11706.745,11748.595,29355,64349,8855552,2834432,49820,10,
R2,13,saturated,,false,932.000,2.002,25.806,41.058,12116.059,12690.291,12721.567,32110,65749,9101312,2924544,49883,32,
R2,14,saturated,,false,1302.000,1.610,5.148,7.866,13237.943,13668.702,13712.688,34153,66562,9322496,3006464,49820,20,
R2,15,saturated,,false,1302.000,1.798,3.485,5.840,14180.652,14636.199,14681.042,36670,68150,9568256,3088384,49838,8,
R2,16,saturated,,false,1242.000,1.829,5.796,28.773,15145.992,15535.746,15644.817,39165,69470,9830400,3194880,49918,1,
R2,17,saturated,,false,1463.000,1.251,2.275,4.550,16124.827,16578.048,16614.838,279,70830,10149888,3317760,49820,279,2026-08-01T18:41:30.001386Z
R2,18,saturated,,false,1381.000,1.629,2.469,2.730,17110.260,17547.518,17590.621,2754,72771,10149888,3366912,49840,0,2026-08-01T18:41:30.001386Z
R2,19,saturated,,false,1402.000,1.671,2.448,2.789,18096.157,18531.812,18566.952,5542,74171,10149888,3432448,49820,0,2026-08-01T18:41:30.001386Z
R2,20,saturated,,false,1320.000,1.785,4.407,5.439,19077.919,19512.143,19535.784,8331,75553,10149888,3497984,49819,0,2026-08-01T18:41:30.001386Z
R2,21,saturated,,false,1392.000,1.461,3.072,7.628,20027.482,20460.541,20504.611,11039,76873,10149888,3563520,49839,1,2026-08-01T18:41:30.001386Z
R2,22,saturated,,false,1340.000,1.584,3.316,5.382,21006.161,21416.791,21460.584,13802,78284,10403840,3612672,49859,0,2026-08-01T18:41:30.001386Z
R2,23,saturated,,false,1264.000,1.495,10.032,29.878,22003.162,22401.976,22441.857,16506,79644,10633216,3678208,49840,20,2026-08-01T18:41:30.001386Z
R2,24,saturated,,false,1440.000,1.435,2.194,2.522,22948.321,23361.182,23406.691,19063,80889,10919936,3743744,49860,0,2026-08-01T18:41:30.001386Z
R2,25,saturated,,false,1364.000,1.480,3.308,4.558,23882.892,24341.831,24381.429,21964,82349,11165696,3809280,49860,7,2026-08-01T18:41:30.001386Z
